author_anonymous,package_id,asset_type,content_category,reason_code,original_audio_language,source_language,target_language,runtime_minutes,start_date,submit_date,due_date,on_time
WbEDyYdS,2096846,LANGUAGE_TEMPLATE,VIDEO,RUSH,en,--,en,77.6,2022-12-30,2023-01-03,2023-01-05,1
zZaOIMzj,2096828,SUBTITLE,VIDEO,RUSH,en,en,ko,50.6,2023-01-01,2023-01-03,2023-01-04,1
yZDHLuhx,2081320,CLOSED_CAPTIONING,VIDEO,RUSH,en,en,cs,56.2,2022-12-29,2023-01-03,2023-01-07,1
nBvhcfUc,2097639,LANGUAGE_TEMPLATE,VIDEO,RUSH,en,--,en,46.9,2022-12-31,2023-01-03,2023-01-03,1
JHdQkRvC,2081336,CLOSED_CAPTIONING,VIDEO,RUSH,en,en,cs,55.0,2022-12-31,2023-01-04,2023-01-07,1
JHdQkRvC,2081322,CLOSED_CAPTIONING,VIDEO,RUSH,en,en,cs,49.1,2023-01-04,2023-01-05,2023-01-07,1
yZDHLuhx,2081333,CLOSED_CAPTIONING,VIDEO,RUSH,en,en,cs,53.9,2023-01-02,2023-01-05,2023-01-07,1
nBvhcfUc,2097621,LANGUAGE_TEMPLATE,VIDEO,RUSH,en,--,en,51.0,2022-12-31,2023-01-05,2023-01-05,1
lgfwBIMa,2074457,CLOSED_CAPTIONING,VIDEO,RUSH,en,en,hu,48.1,2023-01-01,2023-01-05,2023-01-13,1
JHdQkRvC,2081324,CLOSED_CAPTIONING,VIDEO,RUSH,en,en,cs,52.3,2022-12-23,2023-01-06,2023-01-07,1
EHsJcHZw,2108321,SUBTITLE,VIDEO,RUSH,en,en,ko,46.9,2022-12-28,2023-01-06,2023-01-06,1
lgfwBIMa,2074458,CLOSED_CAPTIONING,VIDEO,RUSH,en,en,hu,45.5,2023-01-05,2023-01-07,2023-01-13,1
nBvhcfUc,2097629,LANGUAGE_TEMPLATE,VIDEO,RUSH,en,--,en,48.3,2023-01-05,2023-01-07,2023-01-07,1
EHsJcHZw,2108309,SUBTITLE,VIDEO,RUSH,en,en,ko,44.3,2023-01-01,2023-01-08,2023-01-09,1
EHsJcHZw,2108303,SUBTITLE,VIDEO,RUSH,en,en,ko,45.7,2023-01-08,2023-01-09,2023-01-09,1
zZaOIMzj,2096831,SUBTITLE,VIDEO,RUSH,en,en,ko,47.3,2023-01-05,2023-01-09,2023-01-09,1
lgfwBIMa,2074459,CLOSED_CAPTIONING,VIDEO,RUSH,en,en,hu,50.1,2023-01-07,2023-01-12,2023-01-13,1
zZaOIMzj,2096846,SUBTITLE,VIDEO,RUSH,en,en,ko,77.6,2023-01-09,2023-01-12,2023-01-12,1
QGVudgmQ,2096846,CLOSED_CAPTIONING,VIDEO,RUSH,en,en,en,77.6,2023-01-10,2023-01-13,2023-01-13,1
nBvhcfUc,2097628,LANGUAGE_TEMPLATE,VIDEO,RUSH,en,--,en,44.6,2023-01-07,2023-01-14,2023-01-15,1
EmObQsVf,2097639,SUBTITLE,VIDEO,RUSH,en,en,ko,46.9,2023-01-10,2023-01-16,2023-01-17,1
nBvhcfUc,2097622,LANGUAGE_TEMPLATE,VIDEO,RUSH,en,--,en,44.4,2023-01-12,2023-01-17,2023-01-17,1
QGVudgmQ,2096828,CLOSED_CAPTIONING,VIDEO,RUSH,en,en,en,52.6,2023-01-13,2023-01-18,2023-01-17,0
EmObQsVf,2097621,SUBTITLE,VIDEO,RUSH,en,en,ko,51.0,2023-01-14,2023-01-18,2023-01-19,1
nBvhcfUc,2097636,LANGUAGE_TEMPLATE,VIDEO,RUSH,en,--,en,43.9,2023-01-18,2023-01-19,2023-01-19,1
EmObQsVf,2097629,SUBTITLE,VIDEO,RUSH,en,en,ko,48.3,2023-01-14,2023-01-20,2023-01-21,1
nBvhcfUc,2097635,LANGUAGE_TEMPLATE,VIDEO,RUSH,en,--,en,43.9,2023-01-20,2023-01-23,2023-01-23,1
EmObQsVf,2097628,SUBTITLE,VIDEO,RUSH,en,en,ko,44.6,2023-01-17,2023-01-23,2023-01-24,1
EDdWhfZL,2118201,SUBTITLE,VIDEO,RUSH,en,en,it,51.7,2023-01-22,2023-01-24,2023-01-25,1
EmObQsVf,2097636,SUBTITLE,VIDEO,RUSH,en,en,ko,43.9,2023-01-24,2023-01-27,2023-01-28,1
KudlwSiR,2120856,SUBTITLE,VIDEO,STANDARD,en,en,uk,64.2,2022-12-28,2023-01-02,2023-01-03,1
rvDIJMaX,2096059,CLOSED_CAPTIONING,VIDEO,STANDARD,en,en,en,24.9,2022-12-29,2023-01-02,2023-01-10,1
TTSQMsDs,2120856,SUBTITLE,VIDEO,STANDARD,en,en,hu,64.2,2022-12-28,2023-01-02,2023-01-11,1
uBoAbjpN,2126574,SUBTITLE,VIDEO,STANDARD,pcm,en,uk,37.3,2022-12-23,2023-01-02,2023-01-03,1
JPMDJVEU,2095598,SUBTITLE,VIDEO,STANDARD,id,en,en,23.4,2022-12-29,2023-01-02,2023-01-03,1
qHibZyJu,2035759,SUBTITLE,VIDEO,STANDARD,fr,en,ko,39.8,2022-12-22,2023-01-02,2023-01-03,1
hyRabnVJ,2111051,SUBTITLE,VIDEO,STANDARD,pt-BR,en,ro,32.1,2022-12-30,2023-01-02,2023-01-03,1
HjcshhjE,2097180,SUBTITLE,VIDEO,STANDARD,it,en,ro,42.8,2022-12-29,2023-01-02,2023-01-03,1
MkKNdmza,2095596,SUBTITLE,VIDEO,STANDARD,id,en,pl,24.0,2023-01-02,2023-01-02,2023-01-05,1
iQEFQZQV,2111329,SUBTITLE,VIDEO,STANDARD,ko,en,sv,70.1,2022-12-06,2023-01-02,2023-01-04,1
UlGgPvvs,2095598,SUBTITLE,VIDEO,STANDARD,id,en,pt-BR,23.4,2022-12-29,2023-01-02,2023-01-03,1
dDSilwiT,2104151,SUBTITLE,VIDEO,STANDARD,pl,en,ko,47.4,2022-12-29,2023-01-02,2023-01-03,1
iQEFQZQV,2111325,SUBTITLE,VIDEO,STANDARD,ko,en,sv,63.2,2022-11-21,2023-01-02,2023-01-04,1
XKhBPWKM,2105905,SUBTITLE,VIDEO,STANDARD,en,en,cs,42.7,2022-12-30,2023-01-02,2023-01-02,1
MkKNdmza,2095598,SUBTITLE,VIDEO,STANDARD,id,en,pl,23.4,2023-01-02,2023-01-02,2023-01-03,1
iQEFQZQV,2111338,SUBTITLE,VIDEO,STANDARD,ko,en,sv,63.3,2022-11-28,2023-01-02,2023-01-04,1
kJTPNIwX,2112863,SUBTITLE,VIDEO,STANDARD,en,en,ko,13.3,2022-12-22,2023-01-03,2023-01-07,1
EmObQsVf,2097624,SUBTITLE,VIDEO,STANDARD,en,en,ko,53.8,2023-01-01,2023-01-03,2023-01-04,1
kJTPNIwX,2112859,SUBTITLE,VIDEO,STANDARD,en,en,ko,13.3,2022-12-27,2023-01-03,2023-01-07,1
kJTPNIwX,2112866,SUBTITLE,VIDEO,STANDARD,en,en,ko,13.3,2022-12-25,2023-01-03,2023-01-07,1
kJTPNIwX,2112877,SUBTITLE,VIDEO,STANDARD,en,en,ko,13.3,2022-12-25,2023-01-03,2023-01-07,1
MkKNdmza,2095599,SUBTITLE,VIDEO,STANDARD,id,en,pl,20.9,2023-01-03,2023-01-03,2023-01-07,1
kJTPNIwX,2112874,SUBTITLE,VIDEO,STANDARD,en,en,ko,13.3,2022-12-21,2023-01-03,2023-01-07,1
OZViYtbe,2097632,CLOSED_CAPTIONING,VIDEO,STANDARD,en,en,en,47.0,2023-01-02,2023-01-03,2023-01-04,1
LvUtPYIn,1513256,SUBTITLE,VIDEO,STANDARD,ko,en,fil,59.5,2022-12-16,2023-01-03,2023-01-04,1
